timestamp,case,city
2021-01-01,45,Allen
2021-01-02,93,Allen
2021-01-03,71,Allen
2021-01-04,116,Allen
2021-01-05,71,Allen
2021-01-06,73,Allen
2021-01-07,76,Allen
2021-01-08,53,Allen
2021-01-09,54,Allen
2021-01-10,53,Allen
2021-01-11,74,Allen
2021-01-12,56,Allen
2021-01-13,65,Allen
2021-01-14,65,Allen
2021-01-15,53,Allen
2021-01-16,39,Allen
2021-01-17,46,Allen
2021-01-18,56,Allen
2021-01-19,76,Allen
2021-01-20,65,Allen
2021-01-21,50,Allen
2021-01-22,41,Allen
2021-01-23,29,Allen
2021-01-24,28,Allen
2021-01-25,57,Allen
2021-01-26,40,Allen
2021-01-27,56,Allen
2021-01-28,43,Allen
2021-01-29,34,Allen
2021-01-30,33,Allen
2021-01-31,25,Allen
2021-02-01,39,Allen
2021-02-02,19,Allen
2021-02-03,25,Allen
2021-02-04,17,Allen
2021-02-05,15,Allen
2021-02-06,13,Allen
2021-02-07,13,Allen
2021-02-08,23,Allen
2021-02-09,20,Allen
2021-02-10,28,Allen
2021-02-11,15,Allen
2021-02-12,19,Allen
2021-02-13,15,Allen
2021-02-14,4,Allen
2021-02-15,16,Allen
2021-02-16,11,Allen
2021-02-17,13,Allen
2021-02-18,13,Allen
2021-02-19,9,Allen
2021-02-20,7,Allen
2021-02-21,7,Allen
2021-02-22,7,Allen
2021-02-23,9,Allen
2021-02-24,11,Allen
2021-02-25,5,Allen
2021-02-26,6,Allen
2021-02-27,6,Allen
2021-02-28,5,Allen
2021-03-01,11,Allen
2021-03-02,5,Allen
2021-03-03,13,Allen
2021-03-04,4,Allen
2021-03-05,7,Allen
2021-03-06,4,Allen
2021-03-07,5,Allen
2021-03-08,8,Allen
2021-03-09,12,Allen
2021-03-10,7,Allen
2021-03-11,9,Allen
2021-03-12,7,Allen
2021-03-13,3,Allen
2021-03-14,7,Allen
2021-03-15,7,Allen
2021-03-16,8,Allen
2021-03-17,10,Allen
2021-03-18,8,Allen
2021-03-19,8,Allen
2021-03-20,9,Allen
2021-03-21,13,Allen
2021-03-22,16,Allen
2021-03-23,16,Allen
2021-03-24,24,Allen
2021-03-25,21,Allen
2021-03-26,13,Allen
2021-03-27,13,Allen
2021-03-28,14,Allen
2021-03-29,24,Allen
2021-03-30,20,Allen
2021-03-31,18,Allen
2021-04-01,15,Allen
2021-04-02,18,Allen
2021-04-03,13,Allen
2021-04-04,13,Allen
2021-04-05,26,Allen
2021-04-06,10,Allen
2021-04-07,19,Allen
2021-04-08,14,Allen
2021-04-09,16,Allen
2021-04-10,6,Allen
2021-04-11,11,Allen
2021-04-12,22,Allen
2021-04-13,12,Allen
2021-04-14,16,Allen
2021-04-15,10,Allen
2021-04-16,14,Allen
2021-04-17,17,Allen
2021-04-18,12,Allen
2021-04-19,19,Allen
2021-04-20,11,Allen
2021-04-21,11,Allen
2021-04-22,7,Allen
2021-04-23,12,Allen
2021-04-24,19,Allen
2021-04-25,14,Allen
2021-04-26,26,Allen
2021-04-27,18,Allen
2021-04-28,14,Allen
2021-04-29,11,Allen
2021-04-30,20,Allen
2021-05-01,15,Allen
2021-05-02,13,Allen
2021-05-03,21,Allen
2021-05-04,12,Allen
2021-05-05,19,Allen
2021-05-06,10,Allen
2021-05-07,11,Allen
2021-05-08,12,Allen
2021-05-09,7,Allen
2021-05-10,11,Allen
2021-05-11,15,Allen
2021-05-12,4,Allen
2021-05-13,14,Allen
2021-05-14,12,Allen
2021-05-15,3,Allen
2021-05-16,4,Allen
2021-05-17,6,Allen
2021-05-18,9,Allen
2021-05-19,6,Allen
2021-05-20,2,Allen
2021-05-21,6,Allen
2021-05-22,5,Allen
2021-05-23,3,Allen
2021-05-24,7,Allen
2021-05-25,1,Allen
2021-05-26,,Allen
2021-01-01,166,Butler
2021-01-02,229,Butler
2021-01-03,215,Butler
2021-01-04,302,Butler
2021-01-05,281,Butler
2021-01-06,238,Butler
2021-01-07,200,Butler
2021-01-08,182,Butler
2021-01-09,130,Butler
2021-01-10,169,Butler
2021-01-11,275,Butler
2021-01-12,202,Butler
2021-01-13,185,Butler
2021-01-14,244,Butler
2021-01-15,239,Butler
2021-01-16,190,Butler
2021-01-17,174,Butler
2021-01-18,177,Butler
2021-01-19,289,Butler
2021-01-20,298,Butler
2021-01-21,197,Butler
2021-01-22,159,Butler
2021-01-23,118,Butler
2021-01-24,130,Butler
2021-01-25,173,Butler
2021-01-26,200,Butler
2021-01-27,165,Butler
2021-01-28,133,Butler
2021-01-29,170,Butler
2021-01-30,118,Butler
2021-01-31,108,Butler
2021-02-01,160,Butler
2021-02-02,138,Butler
2021-02-03,139,Butler
2021-02-04,134,Butler
2021-02-05,137,Butler
2021-02-06,97,Butler
2021-02-07,75,Butler
2021-02-08,128,Butler
2021-02-09,109,Butler
2021-02-10,96,Butler
2021-02-11,100,Butler
2021-02-12,93,Butler
2021-02-13,82,Butler
2021-02-14,66,Butler
2021-02-15,75,Butler
2021-02-16,65,Butler
2021-02-17,80,Butler
2021-02-18,65,Butler
2021-02-19,65,Butler
2021-02-20,57,Butler
2021-02-21,52,Butler
2021-02-22,84,Butler
2021-02-23,72,Butler
2021-02-24,66,Butler
2021-02-25,47,Butler
2021-02-26,56,Butler
2021-02-27,35,Butler
2021-02-28,37,Butler
2021-03-01,65,Butler
2021-03-02,58,Butler
2021-03-03,59,Butler
2021-03-04,61,Butler
2021-03-05,42,Butler
2021-03-06,36,Butler
2021-03-07,43,Butler
2021-03-08,53,Butler
2021-03-09,51,Butler
2021-03-10,52,Butler
2021-03-11,53,Butler
2021-03-12,44,Butler
2021-03-13,38,Butler
2021-03-14,27,Butler
2021-03-15,58,Butler
2021-03-16,63,Butler
2021-03-17,62,Butler
2021-03-18,59,Butler
2021-03-19,64,Butler
2021-03-20,37,Butler
2021-03-21,42,Butler
2021-03-22,58,Butler
2021-03-23,55,Butler
2021-03-24,51,Butler
2021-03-25,38,Butler
2021-03-26,38,Butler
2021-03-27,33,Butler
2021-03-28,36,Butler
2021-03-29,49,Butler
2021-03-30,45,Butler
2021-03-31,38,Butler
2021-04-01,45,Butler
2021-04-02,36,Butler
2021-04-03,40,Butler
2021-04-04,37,Butler
2021-04-05,61,Butler
2021-04-06,44,Butler
2021-04-07,42,Butler
2021-04-08,40,Butler
2021-04-09,33,Butler
2021-04-10,28,Butler
2021-04-11,20,Butler
2021-04-12,56,Butler
2021-04-13,45,Butler
2021-04-14,36,Butler
2021-04-15,35,Butler
2021-04-16,31,Butler
2021-04-17,21,Butler
2021-04-18,17,Butler
2021-04-19,52,Butler
2021-04-20,25,Butler
2021-04-21,27,Butler
2021-04-22,36,Butler
2021-04-23,34,Butler
2021-04-24,11,Butler
2021-04-25,20,Butler
2021-04-26,28,Butler
2021-04-27,30,Butler
2021-04-28,20,Butler
2021-04-29,19,Butler
2021-04-30,19,Butler
2021-05-01,26,Butler
2021-05-02,16,Butler
2021-05-03,27,Butler
2021-05-04,32,Butler
2021-05-05,30,Butler
2021-05-06,17,Butler
2021-05-07,27,Butler
2021-05-08,22,Butler
2021-05-09,23,Butler
2021-05-10,22,Butler
2021-05-11,18,Butler
2021-05-12,20,Butler
2021-05-13,19,Butler
2021-05-14,21,Butler
2021-05-15,19,Butler
2021-05-16,9,Butler
2021-05-17,21,Butler
2021-05-18,16,Butler
2021-05-19,16,Butler
2021-05-20,8,Butler
2021-05-21,11,Butler
