timestamp,rt,city,,
2020/10/1,1.070,Franklin,,
2020/10/2,0.950,Franklin,,
2020/10/3,0.850,Franklin,,
2020/10/4,0.910,Franklin,,
2020/10/5,0.990,Franklin,,
2020/10/6,1.140,Franklin,,
2020/10/7,1.250,Franklin,,
2020/10/8,1.220,Franklin,,
2020/10/9,1.140,Franklin,,
2020/10/10,1.050,Franklin,,
2020/10/11,1.030,Franklin,,
2020/10/12,1.130,Franklin,,
2020/10/13,1.240,Franklin,,
2020/10/14,1.350,Franklin,,
2020/10/15,1.370,Franklin,,
2020/10/16,1.290,Franklin,,
2020/10/17,1.170,Franklin,,
2020/10/18,1.070,Franklin,,
2020/10/19,1.040,Franklin,,
2020/10/20,1.050,Franklin,,
2020/10/21,1.170,Franklin,,
2020/10/22,1.260,Franklin,,
2020/10/23,1.250,Franklin,,
2020/10/24,1.220,Franklin,,
2020/10/25,1.210,Franklin,,
2020/10/26,1.220,Franklin,,
2020/10/27,1.380,Franklin,,
2020/10/28,1.370,Franklin,,
2020/10/29,1.420,Franklin,,
2020/10/30,1.380,Franklin,,
2020/10/31,1.300,Franklin,,
2020/11/1,1.250,Franklin,,
2020/11/2,1.320,Franklin,,
2020/11/3,1.400,Franklin,,
2020/11/4,1.630,Franklin,,
2020/11/5,1.600,Franklin,,
2020/11/6,1.510,Franklin,,
2020/11/7,1.410,Franklin,,
2020/11/8,1.310,Franklin,,
2020/11/9,1.260,Franklin,,
2020/11/10,1.260,Franklin,,
2020/11/11,1.310,Franklin,,
2020/11/12,1.350,Franklin,,
2020/11/13,1.260,Franklin,,
2020/11/14,1.090,Franklin,,
2020/11/15,0.970,Franklin,,
2020/11/16,0.950,Franklin,,
2020/11/17,1.000,Franklin,,
2020/11/18,1.110,Franklin,,
2020/11/19,1.330,Franklin,,
2020/11/20,1.430,Franklin,,
2020/11/21,1.420,Franklin,,
2020/11/22,1.330,Franklin,,
2020/11/23,0.870,Franklin,,
2020/11/24,0.890,Franklin,,
2020/11/25,0.740,Franklin,,
2020/11/26,0.680,Franklin,,
2020/11/27,0.750,Franklin,,
2020/11/28,0.840,Franklin,,
2020/11/29,0.860,Franklin,,
2020/11/30,1.140,Franklin,,
2020/12/1,1.080,Franklin,,
2020/12/2,1.420,Franklin,,
2020/12/3,1.490,Franklin,,
2020/12/4,1.380,Franklin,,
2020/12/5,1.900,Franklin,,
2020/12/6,1.850,Franklin,,
2020/12/7,1.740,Franklin,,
2020/12/8,1.380,Franklin,,
2020/12/9,0.960,Franklin,,
2020/12/10,0.540,Franklin,,
2020/12/11,0.330,Franklin,,
2020/12/12,0.040,Franklin,,
2020/12/13,0.490,Franklin,,
2020/12/14,0.680,Franklin,,
2020/12/15,0.860,Franklin,,
2020/12/16,0.910,Franklin,,
2020/12/17,1.020,Franklin,,
2020/12/18,1.030,Franklin,,
2020/12/19,0.980,Franklin,,
2020/12/20,0.910,Franklin,,
2020/12/21,0.850,Franklin,,
2020/12/22,0.560,Franklin,,
2020/12/23,0.700,Franklin,,
2020/12/24,0.780,Franklin,,
2020/12/25,0.840,Franklin,,
2020/12/26,1.060,Franklin,,
2020/12/27,1.150,Franklin,,
2020/12/28,1.130,Franklin,,
2020/12/29,0.910,Franklin,,
2020/12/30,0.850,Franklin,,
2020/12/31,0.970,Franklin,,
2021/01/1,1.160,Franklin,,
2021/01/2,1.150,Franklin,,
2021/01/3,1.080,Franklin,,
2021/01/4,0.970,Franklin,,
2021/01/5,1.120,Franklin,,
2021/01/6,0.970,Franklin,,
2021/01/7,1.150,Franklin,,
2021/01/8,1.270,Franklin,,
2021/01/9,1.160,Franklin,,
2021/01/10,0.990,Franklin,,
2021/01/11,0.880,Franklin,,
2021/01/12,0.850,Franklin,,
2021/01/13,0.810,Franklin,,
2021/01/14,0.770,Franklin,,
2021/01/15,0.590,Franklin,,
2021/01/16,0.480,Franklin,,
2021/01/17,0.530,Franklin,,
2021/01/18,0.660,Franklin,,
2021/01/19,0.860,Franklin,,
2021/01/20,1.040,Franklin,,
2021/01/21,1.050,Franklin,,
2021/01/22,0.910,Franklin,,
2021/01/23,0.730,Franklin,,
2021/01/24,0.580,Franklin,,
2021/01/25,0.540,Franklin,,
2021/01/26,0.670,Franklin,,
2021/01/27,0.720,Franklin,,
2021/01/28,0.720,Franklin,,
2021/01/29,0.690,Franklin,,
2021/01/30,0.610,Franklin,,
2021/01/31,0.560,Franklin,,
2021/02/1,0.620,Franklin,,
2021/02/2,0.720,Franklin,,
2021/02/3,0.860,Franklin,,
2021/02/4,0.870,Franklin,,
2021/02/5,0.720,Franklin,,
2021/02/6,0.630,Franklin,,
2021/02/7,0.600,Franklin,,
2021/02/8,0.650,Franklin,,
2021/02/9,0.860,Franklin,,
2021/02/10,0.960,Franklin,,
2021/02/11,0.990,Franklin,,
2021/02/12,0.870,Franklin,,
2021/02/13,0.660,Franklin,,
2021/02/14,0.530,Franklin,,
2021/02/15,0.540,Franklin,,
2021/02/16,0.630,Franklin,,
2021/02/17,0.840,Franklin,,
2021/02/18,0.960,Franklin,,
2021/02/19,0.950,Franklin,,
2021/02/20,0.940,Franklin,,
2021/02/21,0.880,Franklin,,
2021/02/22,0.860,Franklin,,
2021/02/23,0.860,Franklin,,
2021/02/24,0.870,Franklin,,
2021/02/25,0.880,Franklin,,
2021/02/26,0.820,Franklin,,
2021/02/27,0.720,Franklin,,
2021/02/28,0.770,Franklin,,
2021/03/1,0.850,Franklin,,
2021/03/2,1.010,Franklin,,
2021/03/3,1.080,Franklin,,
2021/03/4,1.000,Franklin,,
2021/03/5,0.930,Franklin,,
2021/03/6,0.850,Franklin,,
2021/03/7,0.870,Franklin,,
2021/03/8,0.930,Franklin,,
2021/03/9,1.050,Franklin,,
2021/03/10,1.150,Franklin,,
2021/03/11,1.120,Franklin,,
2021/03/12,0.950,Franklin,,
2021/03/13,0.880,Franklin,,
2021/03/14,0.860,Franklin,,
2021/03/15,0.970,Franklin,,
2021/03/16,1.060,Franklin,,
2021/03/17,1.120,Franklin,,
2021/03/18,1.100,Franklin,,
2021/03/19,1.020,Franklin,,
2021/03/20,0.890,Franklin,,
2021/03/21,0.900,Franklin,,
2021/03/22,0.990,Franklin,,
2021/03/23,1.310,Franklin,,
2021/03/24,1.430,Franklin,,
2021/03/25,1.420,Franklin,,
2021/03/26,1.230,Franklin,,
2021/03/27,1.130,Franklin,,
2021/03/28,1.090,Franklin,,
2021/03/29,1.190,Franklin,,
2021/03/30,1.220,Franklin,,
2021/03/31,1.340,Franklin,,
2021/04/1,1.050,Franklin,,
2021/04/2,0.930,Franklin,,
2021/04/3,0.760,Franklin,,
2021/04/4,0.830,Franklin,,
2021/04/5,1.050,Franklin,,
2021/04/6,1.260,Franklin,,
2021/04/7,1.210,Franklin,,
2021/04/8,1.170,Franklin,,
2021/04/9,0.900,Franklin,,
2021/04/10,0.890,Franklin,,
2021/04/11,0.960,Franklin,,
2021/04/12,1.060,Franklin,,
2021/04/13,1.160,Franklin,,
2021/04/14,1.130,Franklin,,
2021/04/15,0.940,Franklin,,
2021/04/16,0.740,Franklin,,
2021/04/17,0.630,Franklin,,
2021/04/18,0.650,Franklin,,
2021/04/19,0.750,Franklin,,
2021/04/20,0.870,Franklin,,
2021/04/21,0.870,Franklin,,
2021/04/22,0.790,Franklin,,
2021/04/23,0.690,Franklin,,
2021/04/24,0.630,Franklin,,
2021/04/25,0.700,Franklin,,
2021/04/26,0.840,Franklin,,
2021/04/27,0.930,Franklin,,
2021/04/28,1.010,Franklin,,
2021/04/29,0.960,Franklin,,
2021/04/30,0.810,Franklin,,
2021/05/1,0.710,Franklin,,
2021/05/2,0.680,Franklin,,
2021/05/3,0.680,Franklin,,
2021/05/4,0.800,Franklin,,
2021/05/5,0.900,Franklin,,
2021/05/6,0.950,Franklin,,
2021/05/7,0.840,Franklin,,
2021/05/8,0.710,Franklin,,
2021/05/9,0.690,Franklin,,
2021/05/10,0.800,Franklin,,
2021/05/11,0.940,Franklin,,
2021/05/12,0.970,Franklin,,
2021/05/13,0.920,Franklin,,
2021/05/14,0.780,Franklin,,
2021/05/15,0.530,Franklin,,
2021/05/16,0.410,Franklin,,
2021/05/17,0.510,Franklin,,
2021/05/18,0.680,Franklin,,
2021/05/19,0.860,Franklin,,
2021/05/20,0.920,Franklin,,
2021/05/21,0.830,Franklin,,
2021/05/22,0.700,Franklin,,
2021/05/23,0.600,Franklin,,
2021/05/24,0.470,Franklin,,
2021/05/25,0.480,Franklin,,
2020/10/1,1.310,Ohio,,
2020/10/2,1.110,Ohio,,
2020/10/3,0.970,Ohio,,
2020/10/4,0.960,Ohio,,
2020/10/5,1.080,Ohio,,
2020/10/6,1.350,Ohio,,
2020/10/7,1.470,Ohio,,
2020/10/8,1.400,Ohio,,
2020/10/9,1.200,Ohio,,
2020/10/10,0.990,Ohio,,
2020/10/11,1.030,Ohio,,
2020/10/12,1.230,Ohio,,
2020/10/13,1.440,Ohio,,
2020/10/14,1.630,Ohio,,
2020/10/15,1.470,Ohio,,
2020/10/16,1.230,Ohio,,
2020/10/17,1.030,Ohio,,
2020/10/18,0.950,Ohio,,
2020/10/19,1.050,Ohio,,
2020/10/20,1.250,Ohio,,
2020/10/21,1.420,Ohio,,
2020/10/22,1.440,Ohio,,
2020/10/23,1.250,Ohio,,
2020/10/24,1.100,Ohio,,
2020/10/25,0.990,Ohio,,
2020/10/26,1.130,Ohio,,
2020/10/27,1.380,Ohio,,
2020/10/28,1.460,Ohio,,
2020/10/29,1.510,Ohio,,
2020/10/30,1.320,Ohio,,
2020/10/31,1.230,Ohio,,
2020/11/1,1.200,Ohio,,
2020/11/2,1.330,Ohio,,
2020/11/3,1.500,Ohio,,
2020/11/4,1.670,Ohio,,
2020/11/5,1.520,Ohio,,
2020/11/6,1.370,Ohio,,
2020/11/7,1.280,Ohio,,
2020/11/8,1.250,Ohio,,
2020/11/9,1.330,Ohio,,
2020/11/10,1.510,Ohio,,
2020/11/11,1.560,Ohio,,
2020/11/12,1.570,Ohio,,
2020/11/13,1.410,Ohio,,
2020/11/14,1.170,Ohio,,
2020/11/15,1.010,Ohio,,
2020/11/16,0.910,Ohio,,
2020/11/17,0.960,Ohio,,
2020/11/18,1.070,Ohio,,
2020/11/19,1.170,Ohio,,
2020/11/20,1.430,Ohio,,
2020/11/21,1.370,Ohio,,
