Day ,Franklin,Ohio,,
2020/10/1,1.070,1.310,,
2020/10/2,0.950,1.110,,
2020/10/3,0.850,0.970,,
2020/10/4,0.910,0.960,,
2020/10/5,0.990,1.080,,
2020/10/6,1.140,1.350,,
2020/10/7,1.250,1.470,,
2020/10/8,1.220,1.400,,
2020/10/9,1.140,1.200,,
2020/10/10,1.050,0.990,,
2020/10/11,1.030,1.030,,
2020/10/12,1.130,1.230,,
2020/10/13,1.240,1.440,,
2020/10/14,1.350,1.630,,
2020/10/15,1.370,1.470,,
2020/10/16,1.290,1.230,,
2020/10/17,1.170,1.030,,
2020/10/18,1.070,0.950,,
2020/10/19,1.040,1.050,,
2020/10/20,1.050,1.250,,
2020/10/21,1.170,1.420,,
2020/10/22,1.260,1.440,,
2020/10/23,1.250,1.250,,
2020/10/24,1.220,1.100,,
2020/10/25,1.210,0.990,,
2020/10/26,1.220,1.130,,
2020/10/27,1.380,1.380,,
2020/10/28,1.370,1.460,,
2020/10/29,1.420,1.510,,
2020/10/30,1.380,1.320,,
2020/10/31,1.300,1.230,,
2020/11/1,1.250,1.200,,
2020/11/2,1.320,1.330,,
2020/11/3,1.400,1.500,,
2020/11/4,1.630,1.670,,
2020/11/5,1.600,1.520,,
2020/11/6,1.510,1.370,,
2020/11/7,1.410,1.280,,
2020/11/8,1.310,1.250,,
2020/11/9,1.260,1.330,,
2020/11/10,1.260,1.510,,
2020/11/11,1.310,1.560,,
2020/11/12,1.350,1.570,,
2020/11/13,1.260,1.410,,
2020/11/14,1.090,1.170,,
2020/11/15,0.970,1.010,,
2020/11/16,0.950,0.910,,
2020/11/17,1.000,0.960,,
2020/11/18,1.110,1.070,,
2020/11/19,1.330,1.170,,
2020/11/20,1.430,1.430,,
2020/11/21,1.420,1.370,,
2020/11/22,1.330,1.430,,
2020/11/23,0.870,0.830,,
2020/11/24,0.890,1.120,,
2020/11/25,0.740,0.880,,
2020/11/26,0.680,0.920,,
2020/11/27,0.750,0.830,,
2020/11/28,0.840,0.970,,
2020/11/29,0.860,0.800,,
2020/11/30,1.140,1.110,,
2020/12/1,1.080,0.780,,
2020/12/2,1.420,1.370,,
2020/12/3,1.490,1.260,,
2020/12/4,1.380,1.220,,
2020/12/5,1.900,1.810,,
2020/12/6,1.850,1.690,,
2020/12/7,1.740,1.670,,
2020/12/8,1.380,1.380,,
2020/12/9,0.960,1.010,,
2020/12/10,0.540,0.670,,
2020/12/11,0.330,0.400,,
2020/12/12,0.040,0.080,,
2020/12/13,0.490,0.460,,
2020/12/14,0.680,0.600,,
2020/12/15,0.860,0.790,,
2020/12/16,0.910,0.960,,
2020/12/17,1.020,1.140,,
2020/12/18,1.030,1.030,,
2020/12/19,0.980,0.840,,
2020/12/20,0.910,0.800,,
2020/12/21,0.850,0.670,,
2020/12/22,0.560,0.410,,
2020/12/23,0.700,0.770,,
2020/12/24,0.780,0.670,,
2020/12/25,0.840,0.690,,
2020/12/26,1.060,0.860,,
2020/12/27,1.150,1.070,,
2020/12/28,1.130,1.310,,
2020/12/29,0.910,1.150,,
2020/12/30,0.850,1.190,,
2020/12/31,0.970,1.240,,
2021/01/1,1.160,1.170,,
2021/01/2,1.150,1.070,,
2021/01/3,1.080,1.020,,
2021/01/4,0.970,1.080,,
2021/01/5,1.120,1.430,,
2021/01/6,0.970,1.050,,
2021/01/7,1.150,1.220,,
2021/01/8,1.270,1.060,,
2021/01/9,1.160,0.820,,
2021/01/10,0.990,0.690,,
2021/01/11,0.880,0.700,,
2021/01/12,0.850,0.830,,
2021/01/13,0.810,0.920,,
2021/01/14,0.770,0.870,,
2021/01/15,0.590,0.620,,
2021/01/16,0.480,0.480,,
2021/01/17,0.530,0.530,,
2021/01/18,0.660,0.710,,
2021/01/19,0.860,0.850,,
2021/01/20,1.040,1.060,,
2021/01/21,1.050,1.030,,
2021/01/22,0.910,0.850,,
2021/01/23,0.730,0.630,,
2021/01/24,0.580,0.610,,
2021/01/25,0.540,0.750,,
2021/01/26,0.670,1.050,,
2021/01/27,0.720,1.010,,
2021/01/28,0.720,0.910,,
2021/01/29,0.690,0.680,,
2021/01/30,0.610,0.500,,
2021/01/31,0.560,0.440,,
2021/02/1,0.620,0.640,,
2021/02/2,0.720,0.910,,
2021/02/3,0.860,1.070,,
2021/02/4,0.870,0.950,,
2021/02/5,0.720,0.620,,
2021/02/6,0.630,0.450,,
2021/02/7,0.600,0.440,,
2021/02/8,0.650,0.610,,
2021/02/9,0.860,0.990,,
2021/02/10,0.960,1.140,,
2021/02/11,0.990,1.070,,
2021/02/12,0.870,0.810,,
2021/02/13,0.660,0.460,,
2021/02/14,0.530,0.300,,
2021/02/15,0.540,0.420,,
2021/02/16,0.630,0.610,,
2021/02/17,0.840,1.000,,
2021/02/18,0.960,1.120,,
2021/02/19,0.950,1.010,,
2021/02/20,0.940,1.000,,
2021/02/21,0.880,0.900,,
2021/02/22,0.860,0.960,,
2021/02/23,0.860,1.040,,
2021/02/24,0.870,1.000,,
2021/02/25,0.880,0.900,,
2021/02/26,0.820,0.660,,
2021/02/27,0.720,0.420,,
2021/02/28,0.770,0.630,,
2021/03/1,0.850,0.800,,
2021/03/2,1.010,1.080,,
2021/03/3,1.080,1.150,,
2021/03/4,1.000,0.930,,
2021/03/5,0.930,0.640,,
2021/03/6,0.850,0.550,,
2021/03/7,0.870,0.670,,
2021/03/8,0.930,0.950,,
2021/03/9,1.050,1.280,,
2021/03/10,1.150,1.340,,
2021/03/11,1.120,1.130,,
2021/03/12,0.950,0.790,,
2021/03/13,0.880,0.660,,
2021/03/14,0.860,0.700,,
2021/03/15,0.970,1.090,,
2021/03/16,1.060,1.260,,
2021/03/17,1.120,1.340,,
2021/03/18,1.100,1.150,,
2021/03/19,1.020,0.880,,
2021/03/20,0.890,0.670,,
2021/03/21,0.900,0.830,,
2021/03/22,0.990,0.940,,
2021/03/23,1.310,1.470,,
2021/03/24,1.430,1.540,,
2021/03/25,1.420,1.370,,
2021/03/26,1.230,1.060,,
2021/03/27,1.130,0.960,,
2021/03/28,1.090,0.920,,
2021/03/29,1.190,1.220,,
2021/03/30,1.220,1.210,,
2021/03/31,1.340,1.400,,
2021/04/1,1.050,0.940,,
2021/04/2,0.930,0.840,,
2021/04/3,0.760,0.630,,
2021/04/4,0.830,0.860,,
2021/04/5,1.050,1.230,,
2021/04/6,1.260,1.450,,
2021/04/7,1.210,1.350,,
2021/04/8,1.170,1.330,,
2021/04/9,0.900,0.840,,
2021/04/10,0.890,0.900,,
2021/04/11,0.960,0.930,,
2021/04/12,1.060,0.970,,
2021/04/13,1.160,1.110,,
2021/04/14,1.130,1.060,,
2021/04/15,0.940,0.830,,
2021/04/16,0.740,0.650,,
2021/04/17,0.630,0.520,,
2021/04/18,0.650,0.580,,
2021/04/19,0.750,0.760,,
2021/04/20,0.870,0.990,,
2021/04/21,0.870,1.050,,
2021/04/22,0.790,0.940,,
2021/04/23,0.690,0.710,,
2021/04/24,0.630,0.590,,
2021/04/25,0.700,0.700,,
2021/04/26,0.840,0.970,,
2021/04/27,0.930,1.180,,
2021/04/28,1.010,1.310,,
2021/04/29,0.960,1.170,,
2021/04/30,0.810,0.820,,
2021/05/1,0.710,0.580,,
2021/05/2,0.680,0.520,,
2021/05/3,0.680,0.630,,
2021/05/4,0.800,0.910,,
2021/05/5,0.900,1.060,,
2021/05/6,0.950,1.060,,
2021/05/7,0.840,0.790,,
2021/05/8,0.710,0.640,,
2021/05/9,0.690,0.670,,
2021/05/10,0.800,0.860,,
2021/05/11,0.940,1.050,,
2021/05/12,0.970,1.070,,
2021/05/13,0.920,0.890,,
2021/05/14,0.780,0.610,,
2021/05/15,0.530,0.360,,
2021/05/16,0.410,0.400,,
2021/05/17,0.510,0.790,,
2021/05/18,0.680,1.140,,
2021/05/19,0.860,1.280,,
2021/05/20,0.920,1.200,,
2021/05/21,0.830,0.890,,
2021/05/22,0.700,0.590,,
2021/05/23,0.600,0.480,,
2021/05/24,0.470,0.400,,
2021/05/25,0.480,0.530,,
