Day of Onset Dt,Allen,Butler,Clark,Darke,Erie,Franklin,Gallia,Hamilton,Lucas,Madison,Preble,Putnam,Richland
2021-01-01,45,166,52,10,46,501,10,303,148,17,26,20,71
2021-01-02,93,229,99,19,59,814,21,481,296,32,14,19,71
2021-01-03,71,215,63,21,59,688,14,424,215,26,26,18,76
2021-01-04,116,302,158,48,76,"1,066",15,779,412,42,31,35,96
2021-01-05,71,281,104,24,73,872,7,675,338,24,25,25,76
2021-01-06,73,238,101,34,88,865,10,475,316,32,22,27,97
2021-01-07,76,200,96,18,60,708,12,476,204,20,31,21,68
2021-01-08,53,182,76,20,57,718,15,402,236,19,30,23,68
2021-01-09,54,130,61,13,40,557,8,281,164,14,16,18,39
2021-01-10,53,169,74,7,46,703,7,471,268,17,12,19,78
2021-01-11,74,275,114,24,51,748,6,603,312,29,22,20,96
2021-01-12,56,202,67,24,42,685,8,508,223,17,21,16,67
2021-01-13,65,185,75,34,39,697,15,555,260,30,21,18,88
2021-01-14,65,244,83,23,52,684,8,513,206,30,19,19,61
2021-01-15,53,239,94,34,44,679,7,538,216,25,26,24,65
2021-01-16,39,190,54,12,37,552,9,346,138,24,14,11,43
2021-01-17,46,174,51,14,44,469,8,373,136,25,4,10,44
2021-01-18,56,177,62,12,43,601,15,400,219,24,12,16,89
2021-01-19,76,289,97,29,38,652,18,638,189,28,18,20,73
2021-01-20,65,298,90,30,49,864,14,633,235,33,20,19,75
2021-01-21,50,197,56,20,25,492,8,520,207,21,17,14,62
2021-01-22,41,159,53,26,40,522,24,448,184,18,13,17,61
2021-01-23,29,118,45,3,32,356,6,280,146,18,11,13,23
2021-01-24,28,130,32,3,28,267,6,285,104,10,14,16,27
2021-01-25,57,173,60,28,29,499,12,492,150,17,22,8,79
2021-01-26,40,200,64,24,28,458,11,443,156,13,12,8,44
2021-01-27,56,165,33,19,23,478,7,403,154,17,16,6,50
2021-01-28,43,133,53,12,18,393,10,386,179,6,9,12,47
2021-01-29,34,170,37,14,32,371,8,377,139,13,8,6,39
2021-01-30,33,118,39,8,12,273,8,244,92,9,6,6,34
2021-01-31,25,108,16,7,15,242,6,266,90,9,10,4,31
2021-02-01,39,160,29,12,19,385,15,364,123,16,12,8,49
2021-02-02,19,138,38,8,19,375,6,328,107,15,11,5,25
2021-02-03,25,139,31,14,13,351,8,305,101,8,16,6,42
2021-02-04,17,134,32,16,11,323,8,301,104,10,10,10,28
2021-02-05,15,137,34,9,8,325,4,249,75,7,3,6,22
2021-02-06,13,97,18,2,13,254,3,174,71,11,7,3,11
2021-02-07,13,75,21,2,11,207,4,170,64,6,6,3,19
2021-02-08,23,128,37,20,16,340,10,283,99,12,12,3,42
2021-02-09,20,109,29,15,21,291,3,181,101,8,9,3,30
2021-02-10,28,96,20,8,11,277,6,242,97,13,13,5,16
2021-02-11,15,100,28,6,11,244,4,245,74,12,4,3,26
2021-02-12,19,93,22,8,14,227,2,185,73,11,6,8,25
2021-02-13,15,82,16,3,7,179,9,133,53,5,6,3,24
2021-02-14,4,66,18,1,11,182,4,136,41,6,2,2,19
2021-02-15,16,75,34,2,17,230,6,166,86,7,5,6,21
2021-02-16,11,65,20,5,5,194,5,122,36,6,4,3,16
2021-02-17,13,80,13,8,16,285,10,206,74,8,6,5,31
2021-02-18,13,65,19,11,9,232,5,132,70,5,4,6,22
2021-02-19,9,65,16,4,17,218,4,135,103,5,6,5,24
2021-02-20,7,57,21,1,9,154,6,106,65,5,4,8,26
2021-02-21,7,52,15,,10,140,1,102,41,5,6,,16
2021-02-22,7,84,17,6,17,238,4,164,79,4,6,4,27
2021-02-23,9,72,30,6,15,191,4,160,90,6,5,,9
2021-02-24,11,66,12,5,8,212,7,131,78,8,2,3,19
2021-02-25,5,47,22,3,9,189,3,114,76,5,3,2,22
2021-02-26,6,56,21,6,14,207,8,118,80,8,2,,24
2021-02-27,6,35,12,2,8,139,1,89,55,2,2,4,14
2021-02-28,5,37,17,1,12,146,2,73,42,3,1,2,14
2021-03-01,11,65,23,7,27,224,8,136,84,8,2,6,18
2021-03-02,5,58,21,3,8,224,3,94,61,4,4,1,14
2021-03-03,13,59,26,5,10,230,3,92,75,7,,2,17
2021-03-04,4,61,27,4,13,186,,109,66,6,2,1,13
2021-03-05,7,42,34,5,9,189,2,84,65,5,5,2,19
2021-03-06,4,36,16,7,6,136,1,74,50,5,4,1,14
2021-03-07,5,43,21,1,8,158,3,59,55,,1,2,14
2021-03-08,8,53,30,3,14,204,1,99,72,4,9,4,11
2021-03-09,12,51,21,3,9,208,2,113,70,4,4,5,18
2021-03-10,7,52,23,,10,225,2,108,72,9,3,4,17
2021-03-11,9,53,25,6,11,190,2,97,67,6,1,8,16
2021-03-12,7,44,24,4,10,168,1,79,53,5,4,4,11
2021-03-13,3,38,19,1,9,130,1,60,48,3,1,3,10
2021-03-14,7,27,19,3,7,133,2,80,41,5,4,2,7
2021-03-15,7,58,41,4,11,220,1,133,72,7,4,6,12
2021-03-16,8,63,38,6,11,213,3,103,72,9,4,3,9
2021-03-17,10,62,41,3,12,202,2,142,83,3,4,2,8
2021-03-18,8,59,41,5,11,187,5,106,86,5,4,5,13
2021-03-19,8,64,30,2,14,176,1,106,69,7,7,1,9
2021-03-20,9,37,30,4,9,154,1,80,53,3,6,2,17
2021-03-21,13,42,18,3,14,162,1,71,52,1,4,1,12
2021-03-22,16,58,52,2,19,246,3,121,122,1,4,3,10
