date,Cases,County,Day,Week
2020-11-30,930,Hamilton,D1,W1
2020-12-01,815,Hamilton,D2,W1
2020-12-02,741,Hamilton,D3,W1
2020-12-03,741,Hamilton,D4,W1
2020-12-04,698,Hamilton,D5,W1
2020-12-05,539,Hamilton,D6,W1
2020-12-06,442,Hamilton,D7,W1
2020-12-07,800,Hamilton,D1,W2
2020-12-08,750,Hamilton,D2,W2
2020-12-09,659,Hamilton,D3,W2
2020-12-10,651,Hamilton,D4,W2
2020-12-11,593,Hamilton,D5,W2
2020-12-12,489,Hamilton,D6,W2
2020-12-13,397,Hamilton,D7,W2
2020-12-14,736,Hamilton,D1,W3
2020-12-15,702,Hamilton,D2,W3
2020-12-16,587,Hamilton,D3,W3
2020-12-17,528,Hamilton,D4,W3
2020-12-18,538,Hamilton,D5,W3
2020-12-19,386,Hamilton,D6,W3
2020-12-20,349,Hamilton,D7,W3
2020-12-21,650,Hamilton,D1,W4
2020-12-22,543,Hamilton,D2,W4
2020-12-23,479,Hamilton,D3,W4
2020-12-24,396,Hamilton,D4,W4
2020-12-25,193,Hamilton,D5,W4
2020-12-26,414,Hamilton,D6,W4
2020-12-27,445,Hamilton,D7,W4
2020-12-28,749,Hamilton,D1,W5
2020-12-29,635,Hamilton,D2,W5
2020-12-30,657,Hamilton,D3,W5
2020-12-31,543,Hamilton,D4,W5
2021-01-01,303,Hamilton,D5,W5
2021-01-02,481,Hamilton,D6,W5
2021-01-03,424,Hamilton,D7,W5
2021-01-04,779,Hamilton,D1,W6
2021-01-05,675,Hamilton,D2,W6
2021-01-06,475,Hamilton,D3,W6
2021-01-07,476,Hamilton,D4,W6
2021-01-08,402,Hamilton,D5,W6
2021-01-09,281,Hamilton,D6,W6
2021-01-10,471,Hamilton,D7,W6
