date,Cases,County,Day,Week
2020-11-30,682,Montgomery,D1,W1
2020-12-01,668,Montgomery,D2,W1
2020-12-02,528,Montgomery,D3,W1
2020-12-03,482,Montgomery,D4,W1
2020-12-04,505,Montgomery,D5,W1
2020-12-05,332,Montgomery,D6,W1
2020-12-06,266,Montgomery,D7,W1
2020-12-07,616,Montgomery,D1,W2
2020-12-08,464,Montgomery,D2,W2
2020-12-09,480,Montgomery,D3,W2
2020-12-10,423,Montgomery,D4,W2
2020-12-11,409,Montgomery,D5,W2
2020-12-12,329,Montgomery,D6,W2
2020-12-13,261,Montgomery,D7,W2
2020-12-14,537,Montgomery,D1,W3
2020-12-15,454,Montgomery,D2,W3
2020-12-16,386,Montgomery,D3,W3
2020-12-17,329,Montgomery,D4,W3
2020-12-18,341,Montgomery,D5,W3
2020-12-19,271,Montgomery,D6,W3
2020-12-20,245,Montgomery,D7,W3
2020-12-21,437,Montgomery,D1,W4
2020-12-22,368,Montgomery,D2,W4
2020-12-23,353,Montgomery,D3,W4
2020-12-24,258,Montgomery,D4,W4
2020-12-25,177,Montgomery,D5,W4
2020-12-26,306,Montgomery,D6,W4
2020-12-27,311,Montgomery,D7,W4
2020-12-28,553,Montgomery,D1,W5
2020-12-29,380,Montgomery,D2,W5
2020-12-30,402,Montgomery,D3,W5
2020-12-31,346,Montgomery,D4,W5
2021-01-01,265,Montgomery,D5,W5
2021-01-02,362,Montgomery,D6,W5
2021-01-03,321,Montgomery,D7,W5
2021-01-04,574,Montgomery,D1,W6
2021-01-05,419,Montgomery,D2,W6
2021-01-06,346,Montgomery,D3,W6
2021-01-07,327,Montgomery,D4,W6
2021-01-08,259,Montgomery,D5,W6
2021-01-09,279,Montgomery,D6,W6
2021-01-10,262,Montgomery,D7,W6
