date,Cases,County,Day,Week
2020-11-30,453,Butler,D1,W1
2020-12-01,461,Butler,D2,W1
2020-12-02,466,Butler,D3,W1
2020-12-03,356,Butler,D4,W1
2020-12-04,326,Butler,D5,W1
2020-12-05,266,Butler,D6,W1
2020-12-06,253,Butler,D7,W1
2020-12-07,371,Butler,D1,W2
2020-12-08,379,Butler,D2,W2
2020-12-09,358,Butler,D3,W2
2020-12-10,280,Butler,D4,W2
2020-12-11,318,Butler,D5,W2
2020-12-12,253,Butler,D6,W2
2020-12-13,225,Butler,D7,W2
2020-12-14,366,Butler,D1,W3
2020-12-15,314,Butler,D2,W3
2020-12-16,265,Butler,D3,W3
2020-12-17,255,Butler,D4,W3
2020-12-18,261,Butler,D5,W3
2020-12-19,197,Butler,D6,W3
2020-12-20,216,Butler,D7,W3
2020-12-21,313,Butler,D1,W4
2020-12-22,256,Butler,D2,W4
2020-12-23,221,Butler,D3,W4
2020-12-24,188,Butler,D4,W4
2020-12-25,133,Butler,D5,W4
2020-12-26,214,Butler,D6,W4
2020-12-27,223,Butler,D7,W4
2020-12-28,346,Butler,D1,W5
2020-12-29,241,Butler,D2,W5
2020-12-30,305,Butler,D3,W5
2020-12-31,265,Butler,D4,W5
2021-01-01,166,Butler,D5,W5
2021-01-02,229,Butler,D6,W5
2021-01-03,215,Butler,D7,W5
2021-01-04,302,Butler,D1,W6
2021-01-05,281,Butler,D2,W6
2021-01-06,238,Butler,D3,W6
2021-01-07,200,Butler,D4,W6
2021-01-08,182,Butler,D5,W6
2021-01-09,130,Butler,D6,W6
2021-01-10,169,Butler,D7,W6
2020-11-30,930,Hamilton,D1,W1
2020-12-01,815,Hamilton,D2,W1
2020-12-02,741,Hamilton,D3,W1
2020-12-03,741,Hamilton,D4,W1
2020-12-04,698,Hamilton,D5,W1
2020-12-05,539,Hamilton,D6,W1
2020-12-06,442,Hamilton,D7,W1
2020-12-07,800,Hamilton,D1,W2
2020-12-08,750,Hamilton,D2,W2
2020-12-09,659,Hamilton,D3,W2
2020-12-10,651,Hamilton,D4,W2
2020-12-11,593,Hamilton,D5,W2
2020-12-12,489,Hamilton,D6,W2
2020-12-13,397,Hamilton,D7,W2
2020-12-14,736,Hamilton,D1,W3
2020-12-15,702,Hamilton,D2,W3
2020-12-16,587,Hamilton,D3,W3
2020-12-17,528,Hamilton,D4,W3
2020-12-18,538,Hamilton,D5,W3
2020-12-19,386,Hamilton,D6,W3
2020-12-20,349,Hamilton,D7,W3
2020-12-21,650,Hamilton,D1,W4
2020-12-22,543,Hamilton,D2,W4
2020-12-23,479,Hamilton,D3,W4
2020-12-24,396,Hamilton,D4,W4
2020-12-25,193,Hamilton,D5,W4
2020-12-26,414,Hamilton,D6,W4
2020-12-27,445,Hamilton,D7,W4
2020-12-28,749,Hamilton,D1,W5
2020-12-29,635,Hamilton,D2,W5
2020-12-30,657,Hamilton,D3,W5
2020-12-31,543,Hamilton,D4,W5
2021-01-01,303,Hamilton,D5,W5
2021-01-02,481,Hamilton,D6,W5
2021-01-03,424,Hamilton,D7,W5
2021-01-04,779,Hamilton,D1,W6
2021-01-05,675,Hamilton,D2,W6
2021-01-06,475,Hamilton,D3,W6
2021-01-07,476,Hamilton,D4,W6
2021-01-08,402,Hamilton,D5,W6
2021-01-09,281,Hamilton,D6,W6
2021-01-10,471,Hamilton,D7,W6
2020-11-30,682,Montgomery,D1,W1
2020-12-01,668,Montgomery,D2,W1
2020-12-02,528,Montgomery,D3,W1
2020-12-03,482,Montgomery,D4,W1
2020-12-04,505,Montgomery,D5,W1
2020-12-05,332,Montgomery,D6,W1
2020-12-06,266,Montgomery,D7,W1
2020-12-07,616,Montgomery,D1,W2
2020-12-08,464,Montgomery,D2,W2
2020-12-09,480,Montgomery,D3,W2
2020-12-10,423,Montgomery,D4,W2
2020-12-11,409,Montgomery,D5,W2
2020-12-12,329,Montgomery,D6,W2
2020-12-13,261,Montgomery,D7,W2
2020-12-14,537,Montgomery,D1,W3
2020-12-15,454,Montgomery,D2,W3
2020-12-16,386,Montgomery,D3,W3
2020-12-17,329,Montgomery,D4,W3
2020-12-18,341,Montgomery,D5,W3
2020-12-19,271,Montgomery,D6,W3
2020-12-20,245,Montgomery,D7,W3
2020-12-21,437,Montgomery,D1,W4
2020-12-22,368,Montgomery,D2,W4
2020-12-23,353,Montgomery,D3,W4
2020-12-24,258,Montgomery,D4,W4
2020-12-25,177,Montgomery,D5,W4
2020-12-26,306,Montgomery,D6,W4
2020-12-27,311,Montgomery,D7,W4
2020-12-28,553,Montgomery,D1,W5
2020-12-29,380,Montgomery,D2,W5
2020-12-30,402,Montgomery,D3,W5
2020-12-31,346,Montgomery,D4,W5
2021-01-01,265,Montgomery,D5,W5
2021-01-02,362,Montgomery,D6,W5
2021-01-03,321,Montgomery,D7,W5
2021-01-04,574,Montgomery,D1,W6
2021-01-05,419,Montgomery,D2,W6
2021-01-06,346,Montgomery,D3,W6
2021-01-07,327,Montgomery,D4,W6
2021-01-08,259,Montgomery,D5,W6
2021-01-09,279,Montgomery,D6,W6
2021-01-10,262,Montgomery,D7,W6
